,employee_id,name,age,department,salary,email,join_date,experience_years,city,performance
0,E0,Meera,21,SALES,50000,emp717@gmail.com,2020-05-10,3,Delhi,Not Provided
1,E1,Sam,39,IT,45135,emp939@yahoo.com,Not Provided,6,Delhi,Excelent
2,E2,Meera,39,SALES,45135,emp82@yahoo.com,2020-05-10,6,Surat,Average
3,E3,Kunal,39,FINANEC,115906,emp172@gmail.com,05-10-2020,3,Mumbai,Excelent
4,E4,Kunal,39,IT,5000,emp512@gmail.com,Not Provided,6,Surat,Not Provided
5,E5,Pooja,39,FINANCE,45135,emp345@gmail.com,2020-05-10,3,Surat,Good
6,E6,Harsh,39,HR,45135,emp495@gmail.com,10-05-2020,14,Mumbai,Poor
7,E7,John,39,HR,86176,Not Provided,2020-05-10,18,Surat,Excelent
8,E8,Sam,39,IT,10821,emp806@gmail.com,05-10-2020,6,Surat,Poor
9,E9,John,59,SALES,50000,emp805@gamil.com,Not Provided,2,Delhi,Excelent
10,E10,Rita,39,SALES,21026,Not Provided,05-10-2020,15,Delhi,Poor
11,E11,Ankit,59,IT,5000,emp652@gamil.com,2020-05-10,6,Surat,Not Provided
12,E12,Sam,39,FINANCE,47989,emp733@yahoo.com,2020-05-10,19,Surat,Not Provided
13,E13,Meera,39,FINANEC,45135,emp312@yahoo.com,Not Provided,6,Delhi,Not Provided
14,E14,Meera,32,IT,45135,emp4@gmail.com,Not Provided,17,Mumbai,Excellent
15,,Sam,39,HR,45135,emp292@gmail.com,05-10-2020,3,Delhi,Poor
16,E16,Ravi,39,SALES,5000,emp295@gamil.com,2020-05-10,12,Mumbai,Good
17,,Meera,55,HR,45135,emp316@gmail.com,Not Provided,6,Surat,Poor
18,E18,Ankit,25,HR,106264,emp33@gmail.com,Not Provided,17,Delhi,Average
19,E19,Amit,39,SALES,5000,emp528@gmail.com,Not Provided,6,Surat,Excelent
20,E20,Sneha,39,IT,5000,Not Provided,2020-05-10,6,Surat,Not Provided
21,E21,John,39,IT,50000,emp424@gmail.com,Not Provided,0,Surat,Excellent
22,E22,John,39,FINANCE,50000,Not Provided,2020-05-10,16,Delhi,Not Provided
23,E23,Ravi,39,HR,5000,emp923@yahoo.com,05-10-2020,6,Mumbai,Excelent
24,E24,Pooja,39,IT,79867,Not Provided,Not Provided,6,Delhi,Poor
25,E25,Rekha,39,HR,84017,emp49@gmail.com,Not Provided,19,Delhi,Not Provided
26,E26,Kunal,39,IT,5000,emp379@gmail.com,2020-05-10,6,Delhi,Poor
27,,Rekha,39,HR,45135,Not Provided,05-10-2020,6,Surat,Excellent
28,E28,Sam,39,SALES,84735,emp209@gmail.com,2020-05-10,6,Surat,Excellent
29,E29,Sneha,39,IT,5000,Not Provided,2020-05-10,3,Delhi,Average
30,E30,Ankit,39,FINANCE,5000,emp329@gmail.com,05-10-2020,13,Mumbai,Excelent
31,E31,Pooja,39,IT,50000,emp485@gmail.com,Not Provided,6,Surat,Good
