employee_id,name,age,department,salary,email,join_date,experience_years,city,performance
ID-0,Meera,21,Sales,50k,emp717@,2020/05/10,-3,delhi,
E1,Sam,,IT,,emp939@yahoo.com,,,,EXCELENT
E2,Meera,,Sales,,emp82@yahoo.com,2020-05-10,,suratt,Average
EMP_3,Kunal,,finanec,115906,emp172@,05-10-2020,-3,mumbai,EXCELENT
E4,Kunal,,IT,-5000,emp512@,,,suratt,
ID-5,Pooja,,Finance,,emp345@gmail.com,2020-05-10,-3,suratt,Good
E6,Harsh,,HR,,emp495@gmail.com,10/05/2020,14,mumbai,Poor
ID-7,John,150,H R,86176,,2020/05/10,18,suratt,EXCELENT
ID-8,Sam,,,10821,emp806@gmail.com,05-10-2020,,Surat,Poor
EMP_9,John,59,Sales,50k,emp805@gamil.com,,2,,EXCELENT
EMP_10,Rita,,Sales,21026,,05-10-2020,15,,Poor
ID-11,Ankit,59,,-5000,emp652@gamil.com,2020/05/10,,Surat,
E12,Sam,150,Finance,47989,emp733@yahoo.com,2020-05-10,19,Surat,
ID-13,Meera,,finanec,,emp312@yahoo.com,,,Delhi,
E14,Meera,32,IT,,emp4@gmail.com,,17,Mumbai,Excellent
,Sam,,HR,,emp292@gmail.com,05-10-2020,-3,Delhi,Poor
EMP_16,Ravi,,Sales,-5000,emp295@gamil.com,2020-05-10,12,mumbai,Good
,Meera12,55,HR,,emp316@gmail.com,,,Surat,Poor
E18,Ankit,25,H R,106264,emp33@,,17,,Average
ID-19,Amit,,SALEs,-5000,emp528@,,,Surat,EXCELENT
EMP_20,Sneha,150,I.T,-5000,invalid@,2020/05/10,,Surat,
ID-21,John,,,50k,emp424@,,0,Surat,Excellent
ID-22,John,150,Finance,50k,,2020/05/10,16,,
ID-23,Ravi,150,HR,-5000,emp923@yahoo.com,05-10-2020,,mumbai,EXCELENT
E24,Pooja,,IT,79867,invalid@,,,,Poor
EMP_25,Rekha,,H R,84017,emp49@,,19,,
ID-26,Kunal,,,-5000,emp379@,2020-05-10,,,Poor
,Rekha,,H R,,,05-10-2020,,suratt,Excellent
ID-28,Sam,,Sales,84735,emp209@gmail.com,2020-05-10,,Surat,Excellent
ID-29,Sneha,150,,-5000,noemail,2020/05/10,-3,delhi,Average
EMP_30,Ankit,150,Finance,-5000,emp329@,05-10-2020,13,Mumbai,EXCELENT
ID-31,Pooja,,,50k,emp485@gmail.com,,,suratt,Good
,Harsh,,,,,10/05/2020,-3,mumbai,Excellent
ID-33,Pooja,22,IT,-5000,emp108@gamil.com,10/05/2020,,,Good
E34,John,36,SALEs,50k,emp3@,,,,EXCELENT
EMP_35,Sneha12,,IT,50k,emp399@,,,,
EMP_36,Rekha,,IT,-5000,emp540@yahoo.com,2020/05/10,6,delhi,Average
EMP_37,Harsh,150,SALEs,,emp307@gmail.com,2020-05-10,,Surat,
ID-38,Kunal,,I.T,,emp98@,,,Surat,
ID-39,John,45,,,emp237@yahoo.com,,-3,suratt,Excellent
EMP_40,Ravi##,,IT,,emp329@,,2,suratt,
E41,Harsh,,Finance,21271,,2020/05/10,-3,suratt,Good
,Kunal,,,,emp340@gmail.com,2020-05-10,-3,mumbai,
,"Sam ",,Sales,50k,emp851@,2020-05-10,,mumbai,Average
,Amit,150,Finance,-5000,emp324@gamil.com,,,Delhi,Poor
ID-45,Meera,150,Sales,50k,emp348@yahoo.com,05-10-2020,11,Mumbai,
,Sam,40,H R,,emp635@gamil.com,05-10-2020,4,Mumbai,Excellent
,Pooja,150,Sales,50k,invalid@,2020-05-10,,,EXCELENT
,Ankit,36,HR,,emp576@gamil.com,2020-05-10,,,
EMP_49,Harsh,150,HR,,emp442@,05-10-2020,,Delhi,
E50,John@,,I.T,,emp129@gamil.com,10/05/2020,-3,suratt,
EMP_51,Rekha,150,,142438,emp938@gamil.com,10/05/2020,,Surat,Poor
ID-52,Meera##,,I.T,66264,invalid@,,11,,EXCELENT
,Amit,53,SALEs,,emp784@,2020-05-10,,Mumbai,Poor
EMP_54,Ankit,,Finance,,emp527@gamil.com,05-10-2020,,,Excellent
EMP_55,"Kunal ",,finanec,-5000,emp597@gmail.com,10/05/2020,-3,delhi,Average
,Sam,39,H R,50k,,2020/05/10,-3,suratt,EXCELENT
EMP_57,Ravi,33,I.T,,emp853@yahoo.com,,,Delhi,Average
EMP_58,Harsh,150,I.T,25634,emp198@yahoo.com,05-10-2020,9,Mumbai,
EMP_59,Amit,,H R,50k,emp100@yahoo.com,10/05/2020,-3,suratt,Excellent
ID-60,Ravi,50,finanec,72951,emp29@gamil.com,05-10-2020,,Mumbai,Excellent
